timestamp,cookie_id,campaign_id,external_site_id
1761958804,2392769782,3,370668
1761958876,2693949047,1,339897
1761958920,6841408721,2,989339
1761958986,1457891936,1,530191
1761959035,5354259272,1,206900
1761959081,4555022961,3,457
1761959086,3118263979,2,754393
1761959108,6026221713,3,327948
1761959163,5110337608,3,880929
1761959206,6309178778,2,148360
1761959218,3322214668,3,181063
1761959255,665955022,2,646537
1761959257,2421789343,2,663787
1761959309,4878940743,3,148495
1761959458,7610771706,1,325088
1761959720,5244205340,2,76299
1761959829,6679923357,1,727358
1761959892,717710423,1,41380
1761959901,5546062197,3,794433
1761959908,5757671441,2,730450
1761959929,8576947497,3,516213
1761959963,6355022950,1,174100
1761959994,3573663193,2,155787
1761960025,4217174943,3,151954
1761960224,6647475877,2,194442
1761960283,1500265592,1,453428
1761960319,9673204778,3,641970
1761960354,6694048812,1,109885
1761960386,6336703627,1,783502
1761960426,5424611649,3,61168
1761960475,1777324022,1,699956
1761960488,6160112821,1,79900
1761960594,9303851868,2,172670
1761960604,3436167450,3,515981
1761960638,4623747764,1,222308
1761960719,714030285,3,38610
1761960832,9395840904,1,3459
1761960842,3373507741,1,275038
1761961032,1617564910,2,633203
1761961058,9802036782,3,448674
1761961317,893970906,3,972224
1761961373,9970981242,2,270284
1761961374,7066217989,2,214881
1761961565,2542678723,2,978408
1761961652,4791099221,3,732247
1761961695,6004281446,3,255198
1761961789,7533736273,1,70534
1761961790,3237080967,2,237484
1761961804,2941679747,2,744795
1761961850,9410298864,2,469757
1761961937,740299705,2,148405
1761962190,2693232025,2,673707
1761962267,9652460052,1,307928
1761962329,6025653491,2,601511
1761962402,8581188253,1,483136
1761962499,9613967830,1,318215
1761962515,1495653624,3,680902
1761962517,4310653968,3,773260
1761962548,6023886275,1,411539
1761962594,2470577315,2,254045
1761962640,5819123934,1,258103
1761962725,8724954481,1,185031
1761962776,9498053910,2,797570
1761963257,9255591765,1,171607
1761963320,3171538912,3,765279
1761963322,8690528078,1,533373
1761963416,3827829818,3,570695
1761963511,8207211633,3,545367
1761963714,9251384689,1,666602
1761963731,9610170980,3,791296
1761963764,3617383477,1,164367
1761963838,326580604,1,649210
1761964051,8759107320,3,718778
1761964092,3182293574,2,451811
1761964292,3378055837,2,940996
1761964295,7996714259,3,767630
1761964298,1090609427,2,759372
1761964315,2420244643,2,229690
1761964456,405948970,3,376987
1761964538,6693561493,3,490885
1761964597,7521610105,3,171053
1761964639,3158804363,1,34410
1761964763,1694299108,1,555609
1761964805,1481211266,1,283895
1761964821,480866154,1,834847
1761964839,7331011277,1,62321
1761965180,9568474083,2,89955
1761965235,7847011933,2,276236
1761965263,9943188621,2,91707
1761965386,5254351894,3,773260
1761965422,1632686165,2,920003
1761965595,9924146369,2,713380
1761965753,9207003491,2,247539
1761965817,6500731083,3,886514
1761965824,4473837692,3,560962
1761965886,1179761123,3,926419
1761965903,8905731989,1,540246
1761966146,7998058164,2,975870
1761966159,1320160582,3,770168
1761966239,1464153249,3,554089
1761966360,8910527074,3,957512
1761966467,4770407837,1,308527
1761966482,6746334736,1,604416
1761966486,757955743,1,257137
1761966838,6190567822,3,584718
1761966980,8501526877,2,471651
1761967062,2071156755,1,983252
1761967380,2085262236,1,938091
1761967477,7072965848,3,616410
1761967505,5940722146,1,370159
1761967707,5764995492,1,129396
1761967985,2549967270,1,227519
1761968062,5937607808,3,897722
1761968500,2095178195,1,764358
1761968643,5495668530,3,978685
1761969211,5117674728,2,926973
1761969499,9816723210,3,852097
1761969520,6999216470,2,256950
1761969808,1739468659,1,767495
1761969840,8724284490,1,964475
1761969936,6950761167,2,27492
1761970058,5886568015,3,730405
1761970155,1273677107,1,922129
1761970203,6012138609,3,578998
1761970283,7873509156,1,397149
1761970429,391876829,2,166209
1761970433,260104178,1,885728
1761970565,1302664461,1,221200
1761970660,5880696141,3,597266
1761970760,2617703270,2,517553
1761970802,6523368375,2,348477
1761970840,6806841504,3,405497
1761971018,1863851920,2,984495
1761971294,3736279066,1,551828
1761971561,497242997,2,33122
1761971739,2253750189,2,835955
1761971785,7772030445,3,184619
1761971847,9012170284,3,419198
1761971987,3366866710,3,746367
1761972218,4532578601,1,817822
1761972248,8108851120,2,224427
1761972256,777862004,2,785254
1761972674,5737000558,2,449183
1761972770,3488376224,1,172715
1761972866,5397361902,2,155555
1761973200,7159946220,3,815007
1761973226,8185544269,2,192413
1761973525,2270081285,3,843659
1761973721,1368659810,2,915114
1761973913,4880658454,1,155368
1761973933,4504720693,3,242605
1761973988,8169776533,1,457486
1761974332,2552267179,2,979606
1761974470,9005708641,2,821236
1761974590,4258254211,2,710520
1761974655,5671668610,1,111083
1761974692,5026804106,1,281215
1761974956,6733221457,1,997320
1761975029,188796442,3,372053
1761975203,4846646719,1,638691
1761975280,6774637952,1,415597
1761975303,6858797774,2,57477
1761975408,946669788,3,186184
1761975535,4231539571,1,685656
1761975695,4622243441,2,320244
1761975724,2173991445,1,417169
1761975822,9394130177,2,626929
1761975895,9677238551,2,937537
1761975984,4707660242,2,803754
1761976084,646926701,1,796739
